time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
2025-08-15T23:59:35.824Z,0.5241,-0.3808,-1.3289,-0.3112,0.3,-0.0912,1.7415,19.9131,-40.8425
2025-08-15T23:59:35.834Z,0.4381,-0.3355,-1.3473,-0.3299,0.2484,-0.0909,1.7751,20.178,-41.021
2025-08-15T23:59:35.845Z,0.345,-0.2454,-1.2235,-0.3416,0.1894,-0.0795,1.8586,20.2789,-40.887
2025-08-15T23:59:35.854Z,0.358,-0.1374,-1.0656,-0.3238,0.1484,-0.061,1.8833,20.2701,-40.8538
2025-08-15T23:59:35.864Z,0.3553,-0.0474,-0.9832,-0.2888,0.1217,-0.0488,1.7848,20.6816,-40.8758
2025-08-15T23:59:35.874Z,0.408,0.0545,-0.8928,-0.2499,0.0863,-0.0372,1.8349,20.7841,-40.688
2025-08-15T23:59:35.885Z,0.4989,0.1464,-0.7809,-0.2055,0.0409,-0.0319,1.9422,20.8607,-40.6322
2025-08-15T23:59:35.894Z,0.6306,0.1717,-0.6581,-0.1684,0.0159,-0.048,1.9639,20.9119,-40.7529
2025-08-15T23:59:35.904Z,0.7477,0.1774,-0.6902,-0.1427,0.0014,-0.0789,2.0565,20.8689,-40.6468
2025-08-15T23:59:35.914Z,0.8881,0.2077,-0.6204,-0.1193,-0.0228,-0.1395,2.0248,20.9851,-40.5009
2025-08-15T23:59:35.924Z,1.1032,0.1551,-0.5415,-0.0774,-0.0386,-0.2333,2.0456,21.019,-40.4602
2025-08-15T23:59:35.935Z,1.2388,0.174,-0.4628,-0.0289,-0.0223,-0.3081,1.9604,21.0387,-40.5964
2025-08-15T23:59:35.944Z,1.0824,0.3678,-0.4423,0.014,-0.0441,-0.345,1.8341,21.0236,-40.622
2025-08-15T23:59:35.954Z,0.8261,0.5217,-0.2569,0.0203,-0.0728,-0.3289,1.789,21.0538,-40.6113
2025-08-15T23:59:35.964Z,0.6531,0.5563,-0.1759,-0.0092,-0.0715,-0.2738,1.6182,21.0054,-40.5938
2025-08-15T23:59:35.974Z,0.6307,0.6046,-0.2883,-0.0666,-0.0656,-0.2039,1.5377,20.9081,-40.8312
2025-08-15T23:59:35.983Z,0.6542,0.634,-0.2692,-0.1325,-0.0488,-0.1312,1.4935,21.0664,-40.759
2025-08-15T23:59:35.994Z,0.596,0.6738,-0.1974,-0.1785,-0.0095,-0.0571,1.4628,21.0807,-40.7269
2025-08-15T23:59:36.004Z,0.5647,0.7601,-0.0826,-0.1884,0.0498,0.0076,1.5055,21.1244,-40.5684
2025-08-15T23:59:36.014Z,0.5796,0.7992,-0.0576,-0.1559,0.1172,0.0523,1.5023,21.1442,-40.5123
2025-08-15T23:59:36.024Z,0.5869,0.7873,0.0682,-0.0793,0.1921,0.0776,1.462,21.3323,-40.6526
2025-08-15T23:59:36.033Z,0.5983,0.7617,0.1505,0.0232,0.2451,0.0837,1.6071,21.3455,-40.6065
2025-08-15T23:59:36.044Z,0.5713,0.7794,0.1949,0.1196,0.2484,0.0847,1.7477,21.3002,-40.5792
2025-08-15T23:59:36.054Z,0.505,0.8268,0.3581,0.196,0.1984,0.0831,1.7326,21.273,-40.4786
2025-08-15T23:59:36.064Z,0.3901,0.9155,0.5088,0.2525,0.1218,0.0826,1.8271,21.1476,-40.8353
2025-08-15T23:59:36.074Z,0.3013,0.9832,0.556,0.281,0.0471,0.079,1.8691,21.0052,-40.6944
2025-08-15T23:59:36.084Z,0.3014,0.9465,0.5796,0.2872,-0.0135,0.0728,1.9394,20.8945,-40.891
2025-08-15T23:59:36.094Z,0.299,0.8823,0.5787,0.2624,-0.0661,0.0714,2.0714,20.7982,-40.7997
2025-08-15T23:59:36.104Z,0.2704,0.8175,0.6313,0.219,-0.124,0.0853,1.9652,20.7704,-40.8969
2025-08-15T23:59:36.114Z,0.2338,0.7611,0.6983,0.161,-0.1853,0.0998,1.8866,20.7492,-40.9107
